Unnamed: 0,author,comment,translated_comment
173,infoponorogo,@advokat_nadarulhuda heheh?? enek sing berpendapat soale wayah ngurusi sing arep metu 2 sing siji urung kecandhak wis mlayu dhisik mungking ngono??,@advokat_nadarulhuda heheh?? siapa yang mengira sudah waktunya mengurus mereka yang ingin keluar?
174,infoponorogo,@mast_echooooooo okeeeee????????,@mast_echooooooooo okeeeeee?????????
175,pfs_007,@infoponorogo Semoga saja. Iso dadi apike kabeh..,@infoponorogo saya harap begitu. Semuanya baik..
176,infoponorogo,@rmzlahmad.dr wah lha menurut Kadesnya gimana kak? Apakah ndak ada info awal?,@rmzlahmad.dr Kades gimana pendapatnya gan? Apakah ada informasi awal?
177,aqwam.nasimbada,@dilaga_745 po yo iso dikontrol nek manual .wkwkwk,@dilaga_745 apakah bisa dikontrol secara manual
178,aqwam.nasimbada,mugo2 dudu mung alesan nek penghasile berkurang gara2 setoran e neng dishub akeh wkwkwk,bukan satu-satunya penyebab berkurangnya pendapatan karena banyaknya simpanan di dishub
179,renataelvina,Ono ono wae saiki peraturan anyr dadak e parkir,"Oya, sekarang ada peraturan parkir baru"
180,dem_met33,Penak ra penak min,Ini nyaman bagi saya
181,_renggananda,Intine gelem maju opo mundur?,Apakah Anda bersedia untuk maju atau mundur?
182,romantriz,Parkir di PCC aja dikelola pihak ketiga ??,Parkir di PCC tidak dikelola oleh pihak ketiga??
183,muhamd.maghfur,"Jaman digital, SDM ya harus di upgrade. Tujuan pemkab memang modernisasi dan utk meminimalisir ""kebocoran"" agar PAD bertambah.","Di era digital, SDM harus ditingkatkan. Tujuan pemerintah daerah adalah modernisasi dan meminimalisir “kebocoran” sehingga PAD meningkat."
184,eline_xiandhia,"Yg jlas perlu ditertibkan jukir"" yg ngentolan... ??????Udh jlas trtulis di PERDA tarif  parkir itu brp.... Bukan seenak dia, E parkir sbnrnya bagus... Akan mudah bila udh terbiasa..... Menghindari kebocoran PAD jg... Yuk maju yuk.. Pasti bisa... PONOROGO HEBAT ????","Yang jelas ""jukir"" yg nunggu... ??????Di PERDA jelas tertulis berapa tarif parkirnya.... Gak suka, parkirnya bagus... Gampang kalau dibiasakan.... .Hindari kebocoran PAD juga... Ayo.. Pasti bisa... PONOROGO HEBAT ????"
185,muhamd.maghfur,"@rmzlahmad.dr maaf setau sy klo jalan desa masuk cover dana desa, jd lgsg tanya ke kantor desa.","@rmzlahmad.dr Mohon maaf, saya tidak tahu kalau ke desa untuk membiayai dana desa, jadi silakan tanyakan ke kantor desa."
186,rmzlahmad.dr,@rmzlahmad.dr desa nya lagi kasus masalah pungli pak..ini heran. Jalan masuk ke desa2 yg lain sudah semen semua . Kerumah saya aja yg belom..,@rmzlahmad.dr desa masih kasus masalah pungli pak.. ini mengagetkan. Jalan menuju desa lain semuanya sudah disemen. Rumahku tak sama..
187,rmzlahmad.dr,@muhamd.maghfur saya bukan asli sini. Br 3 bulan pindah ktp dsni. Sprtinya org disini pasrah2 saja..ini udh bertahun2 gada perubahan sm sekali,@ muhamd.maghfur Saya bukan dari sini. Sudah 3 bulan sejak saya pindah ke sini. Orang-orang di sini menyerah begitu saja
188,rmzlahmad.dr,@infoponorogo info awal sejak sblm pandemi. Katanya mau dibangun. Sampai sekrg blm ad perubahan sm sekali..,@infoponorogo informasi awal sejak sebelum pandemi. Katanya sudah dibangun. Sampai saat ini belum ada perubahan..
189,clpt.gtgg_,"Manual tech ,, dadak gae noz barang","Teknis manual, tiba-tiba saya tidak tahu apa-apa"
190,clpt.gtgg_,Giegerno ae ????,Giegerno ????
191,nizarkurangturu_,@infoponorogo bolak balik minn??,@infoponorogo bolak balik??
192,gusrori1,Jane lk podo bingung mending mlaku ae.,"Jane, aku bingung, aku mau jalan."
193,septianpamungkas.png,@infoponorogo blas ketoke min ??,@infoponorogo blas mirip dengan saya??
194,septianpamungkas.png,"@infoponorogo isone mung ngewangi dungo, pomo gawe E mugo ae bayare kang parkir iso d susaikne walaupun gk se agal pas gk gwe karcis ??","@infoponorogo sekedar bantu, gimana bisa bayar parkirnya padahal lumayan kalau gak punya tiket??"
195,hantoro_krista,??menolak karena penghasilannya gak besar lagi (kelong akeh),??menolak karena penghasilannya tidak besar lagi (banyak kerugian)
196,angry_bud,"Iso lah, jaman semakin berkembang. kabeh2 serba elektronik. Jd yo kudu adaptasi","Itu saja, zaman semakin berkembang. semuanya elektronik. Anda harus beradaptasi"
197,dwi_yulia,Penak e-parkir.. bayare parkir murah min,Parkir elektronik yang nyaman.. biaya parkir rendah min
198,mohamadaxel,"enak e - parkir aja, apalagi biasanya ada tukang parkir yg ga ngapa"" in ehh minta uang wkwk","Ada baiknya jangan parkir, apalagi kalau biasanya ada tukang parkir yang tidak keberatan meminta uang"
199,anang_pr19,"Wes kono"" lurr, piye karepe","Wes disana"" lurr, maunya gimana"
200,arkhasewandono,"Jukir nolak e-parkir kene yo nolak m-parkir, podo nolak e akhire gk sido mbayar ??????","Jika Anda menolak e-parking, Anda dapat menolak m-parking."
201,ajudannnn,"Klo memang alasannya berkurangnya PAD daerah, pasang aja banner foto dan viralkan jukir yg tidak memberi karcis udah gitu aja jukir ketar ketir. Daripada ribet pake elektronik. ????","Kalau alasannya karena berkurangnya PAD di daerah, jangan pasang spanduk – foto dan viralkan jukir yang tidak kasih tiket – itu saja, jangan khawatir. Daripada menggunakan elektronik. ????"
202,ajudannnn,@ajudannnn alasannya kan emang karena selama ini jukir setor uang ke pemda gak sesuai target. Mana kemarin ada yg matok 15k per mobil waktu lebaran,@ajudannnn alasannya karena selama ini saya menyetorkan uang ke pemda tidak sesuai target. Kemarin ada yang bayar 15rb per mobil saat lebaran
203,karya_dx,"@dilaga_745 kyok sistim di gacoan sama Surya swalayan bayar parkirnya di kasir, agar tidak ada KEBOCORAN, tarif e Podo, tur ora dislewengke..","@dilaga_745 Kira-kira sistemnya sama dengan parkir swalayan Surya, bayar parkir di kasir biar gak KEBOCORAN, ratenya Podo, dan gak disalahgunakan.."
204,sinyo_permana,"@dilaga_745 jangan seribu bro,gua parkir mobil gua kasi 10ribu gua kira dikasi kembalian e malah kabur,mending sistem langsung masuk kas daerah","@dilaga_745 gak bayar seribu gan, saya parkir mobil karena 10 ribu, kayaknya bakal dapat refund dan malah gak jelas, sistem langsung masuk ke kasir setempat"
205,ruvizuana,"Lek kangelan gae alat elektronik, ben digenteni cah2 ae pak, iki wes akeh cah lulusan anyar podo nganggur","Ada masalah alat elektronik mohon diganti pak, banyak lulusan baru yang menganggur."
206,infoponorogo,@ruvizuana lhadalaa ??,@ruvizuana lhadalaa??
207,dilaga_745,@karya_dx la itu lebih baik,@karya_dx itu lebih baik
208,karya_dx,"@sinyo_permana kyk gak ikhlas GT ya, terkesan maksa kyk maling, kalo di BCA saya kasih 2rb masih dikasih kembalian 1rb, kalo ditempat lain sekitaran HOS Cokroaminoto itu sering gak dikasih kembalian, bahkan saya pernah di daerah Balong dikasih 2rb jg ga dikasih kembalian,","@sinyo_permana sepertinya gak ikhlas GT, berasa bayar maling, kalau di BCA saya kasih 2rb tetap kasih 1rb, kalau di tempat lain sekitar HOS Cokroaminoto sering gak balikin, saya pun' pernah ke daerah Balong saya sudah diberi 2k dan mereka tidak mengembalikan saya,"
209,sinyo_permana,"@karya_dx ini bukan masalah ikhlas gag ikhlas,tp masalah kejujuran.... PERDA dah ngatur tarif parkir masa tukang parkir dikasi 10ribu gag ngasi kembalian???????? makanya dibuat elektronik supaya kerja itu sesuai SOP yg ada????","@karya_dx ini bukan soal ikhlas, ini soal kejujuran... PERDA sudah mengatur tarif parkir ketika juru parkir dikasih 10.000 untuk bayar????????? makanya dibuat elektronik supaya berfungsi sesuai SOP yang ada????"
210,karya_dx,"@sinyo_permana bukan GT bro mksd q ak kalo mtor dikasih 2rb diem aja pdhal dtmpat lain 1rb diem/ klo 2rb masih ad yg mau ngasih kmbalian, rasanya kyk gak ikhlas GT lho, berasa dipalak aja,,kalo saya setuju dibuat satu tarif aja buat yg dipinggir jalan","@sinyo_permana itu bukan GT gan, kalau dikasih 2.000 per diem, jangan kemana-kemana lagi, 1.000.000 per diem/ kalau 2.000.000 orang masih mau balikin sepertinya GT gak ikhlas, rasanya aku' Saya ditipu, kalau setuju, buatkan satu tarif saja untuk di pinggir jalan"
211,ayubsimone,Tiwas e parkir neng hos cokroaminoto mending e parkir e dikekne pasar legi lk luwih cocok,Lebih cocok parkir di tuan rumah cokroaminoto
212,super_keju21,Panggah wong cilik seng di gae susah.. ????????,Sulit bagi orang kecil..?????????
213,kapringga,Mesti lek gae aturan terlalu mendadak dadi keteteran opo meneh wong tuek umur 50th wes gak nutut,"Mungkin karena peraturannya terlalu mendadak untuk ditegakkan, atau orang-orang berusia 50-an tidak mematuhinya"
214,singgih_dwi_hs,"Bagusan e parkir, dana yg masuk bisa maksimal, tp klau lhat tren pemerintah saat ini uang2 dr pendapatan pajak rawan d gunakan oknum2. Jd sama aja intinya uang nya gak tau kmana??","Bagus untuk parkir, uang yang masuk bisa maksimal, tapi kalau melihat tren pemerintah saat ini, uang dari penerimaan pajak rawan dimanfaatkan oleh swasta. Intinya tau gak uangnya dimana??"
215,tuludnah,"""Mengurangi Penghasilan""? ???????? ketoro jukir nakal",“Mengurangi Pendapatan”? ???????? nakal
216,rdwnardian_,Tukang parkir paling parah sekitar alun2.. ?? Pilih parkir motor bayar 5000 opo ngaleh? Ra gelem ngalih o.. piye lo kiih,Tukang parkir terburuk di sekitar alun-alun..?? Apakah Anda memilih membayar 5000 untuk parkir motor? saya bersedia pindah o.. bagaimana caranya?
217,davidferdy,@dilaga_745 mambengi 3000 sak motor neng festival lur??,@dilaga_745 mengendarai 3000 sepeda motor di festival??
218,infoponorogo,"@septianpamungkas.png iki mulai pakai karcis, nek sadurunge manualan akeh sing ora ta masaku apa kabeh mandaran? ??","@septianpamungkas.png mulai pakai tiket, kalau sebelum manual banyak yang gak sempat kenapa mandaran semua? ??"
219,infoponorogo,@bgsskw okeeee kakak semangat??,@bgsskw okeee semangat abang??
220,infoponorogo,"@fatkurphotography wis ora melu, saiki sing ngurusi kancane Roy karo anak buahe Agus Yayat??","@fatkurphotography belum ikut, sekarang siapa yang menjaga teman Roy dan anak buah Agus Yayat??"
221,infoponorogo,Oke siaaap?????? nah ngono tertib??,"oke, apa kabar?????? apakah itu beres??"
222,nunu.sgt,"Aq pilih elektronik ae min... wis males ngadepi jukir² sg diwei sewu ditampani, diwei rongewu ra dijujuli?? . Ayo pak dishub @dishubpng galakkan e-parkir aja","Aq pilih elektronik, ae min... Aku malas menghadapi jukir² padahal aku sudah diterima seribu orang, dan aku dipuji dua ribu orang?? . Ayo Pak Dishub @dishubpng dorong e-parking"
223,infoponorogo,"@nunu.sgt okeee awakmu tim elektronik ya kak, ben tertib ya??","@nunu.sgt oke, kakak tim elektronika, tertib??"
224,fakhmiky,"Sek proses luurr jenenge perubahan jaman kabeh kudu siap dan beradaptasi, e-parkir sy sangat setuju disatu sisi jelas muaranya dan tdk ada pengentolan harga parkir??","Kalau namanya proses perubahan jaman semua harus siap dan beradaptasi, e-parkir saya setuju sekali di satu sisi muaranya jelas dan tidak ada penurunan harga parkir??"
225,ryssangpratama,"Minn , menawii dirimu ngerti , dalan ngarep omahku kokk di wenehi plang e DISHUB , kiro2 sementara opo selawase yaa minn ... Lokasi RSU MUHAMMADIYAH tambak bayan ngulon minn","Minn kalau tau jalan depan rumahku dikasih tanda DISHUB, itu sementara atau selamanya?"
226,dilaga_745,@infoponorogo mending parkir manual tapi bayar e tetep 1000 di seluruh parkiran se kab  ponorogo,@infoponorogo boleh parkir manual tapi tetap bayar 1000 di semua tempat parkir di kabupaten Ponorogo
227,tofan.ts,"Perlu di garis bawahi dan di tebali *Mengurangi Penghasilan*, ya klo memang niat pakai e-parking mbok iyo to jukir di bimtek, di latih, ben gak bingung.","Perlu digarisbawahi dan ditekankan *Mengurangi Pendapatan* ya, kalau memang niat pakai e-parking sebaiknya di bimtek, dilatih jangan bingung."
228,infoponorogo,@fakhmiky naaah ????benul.. wis jajal e-parkir durung kak? ??,@fakhmiky naaah ????benul.. udah coba e-parking belum gan? ??
229,ryo_shikamaru,"Mergone nek parkir eletronik, kertase ora iso dirubah 2000 jadi 3000 ??????",Kenapa kalau parkir elektronik kertasnya tidak bisa diganti dari 2000 menjadi 3000 ??????
230,ika_jauhar,Enak pakai e parkir kayakny,Senang menggunakannya di tempat parkir
231,infoponorogo,@ryssangpratama mulai kapan kak pasange?,@ryssangpratama kapan Anda mulai memposting?
232,infoponorogo,"@dilaga_745 nah ngene jane ya masuk wae lur, tapi ya piye jare jalarane merga enek sing ngenthol barang ki komen dhuwur kunu mau.. gari gelem tertib tarife ora? ??","@dilaga_745 Baiklah, Anda boleh masuk, tapi bagaimana Anda mengatakannya karena Andalah yang membeli barang yang Anda komentari begitu tinggi. ??"
233,ryssangpratama,"@infoponorogo kurang paham niku minn , sing jelas enjing jam2 8.an dereng kepasang , lhaa sonten niki wau kokk mpun entenn rambu stop s DISHUB","@infoponorogo Gak ngerti, yang jelas baru nyambung jam 8 pagi, ngapain nunggu tanda berhenti DISHUB malam ini?"
234,infoponorogo,"@tofan.ts kayane ya wis diwenehi lur, ya paling butuh waktu penyesuaian.. ya muga muga isa lancar lah..","@tofan.ts sepertinya sudah diberi lur, tapi perlu waktu penyesuaian.. semoga lancar.."
235,infoponorogo,@ryo_shikamaru lhadalah iki anu nek iki??,@ryo_shikamaru apa ini??
236,infoponorogo,@ika_jauhar siaaap.. awakmu tim elektronik ya kak? ????,@ika_jauhar siaaap.. tim elektronika gan? ????
237,_anandaayuu__,"jane e-parkir i cocok e gae lahan seh enek tempat khusus parkir koyo mall, toserba utowo pasar, lek di peruntukan gae lahan parkir terbuka/pinggir ratan i kurang cocok soale mesti ribet, tp lek manual ya sek akeh jukir seh nakal. mboh lah bingung","jane e-parkir cocok untuk tempat parkir khusus seperti mall, convenience store atau pasar, namun tidak cocok untuk tempat parkir terbuka/di pinggir ratan. Saya tidak bingung"
238,infoponorogo,@ryssangpratama rekayasa lalin kayane ya? Apa enek acara ning jalan alun alun sih lor iku ben lancar ngono..,@ryssangpratama rekayasa pelupa ya? Apakah acara di jalan Alun Alun berjalan lancar?
239,infoponorogo,@_anandaayuu__ hooh sih bener... lhaaaa dadi awakmu tim manual apa parkir kak??,@_anandaayuu__ hooh beneran... lhaaaa jadi tim manual parkirnya gimana gan??
240,ryo_shikamaru,"@infoponorogo tau ngerti to duit 2000, 2 ne dicoret dadi 3000 ??",@infoponorogo tau gak uang 2000 dicoret 2 jadi 3000??
241,infoponorogo,"@ryo_shikamaru tau tapi lali nggone, ngendi lur sing kaya ngono wi??","@ryo_shikamaru Aku tahu tapi lupa dimana, dimana??"
242,abyanep,@nizarkurangturu_ @musyaffa_89 mbenjeng,@nizarkurangturu_ @musyaffa_89 besok
243,pfs_007,Enak E-Parking,Nikmati E-Parkir
244,ika_jauhar,@infoponorogo iyass??,@infoponorogo kan??
245,musyaffa_89,@abyanep rodok bahaya lek Iki,@abyanep ini tidak terlalu berbahaya
246,infoponorogo,@ika_jauhar okai kak??,@ika_jauhar oke gan??
247,infoponorogo,@abyanep awakmu tim apa kak manual apa elektronik??,@abyanep tim mana yang manual atau elektronik?
248,infoponorogo,@musyaffa_89 banaya piye kak??,@musyaffa_89 apa kabarnya kawan??
249,infoponorogo,@al_wildd oke awakmu tim elektronik ya kak? Alesane apa kak? ??,@al_wildd oke kamu tim elektroniknya gan? Apa alasannya? ??
250,syahrulsatriaw,kono kono aturen penting ra mangan gapuro,itulah mengapa penting untuk makan gapuro
251,nizarkurangturu_,@infoponorogo @abyanep iki lo min seng gaene parkir ng sekolah tapi lek mbayar mbenjeng mbenjeng ae,@infoponorogo @abyanep Saya tidak mau parkir di sekolah tapi harus bayar
252,infoponorogo,@syahrulsatriaw byuh gapura ngendi iki??dadi pilih manual apa eletronik no??,@syahrulsatriaw ini gerbangnya dimana?? jadi pilih yang manual atau elektronik??
253,musyaffa_89,@infoponorogo wes gaiso parkir liar neh min pak parkire??,"@infoponorogo, mau parkir ilegal?"
254,infoponorogo,@nizarkurangturu_ weh masa cash bon ????,@nizarkurangturu_ saatnya mendapat uang tunai????
255,infoponorogo,@musyaffa_89 wehehe salah siji alesane enek e parkir kayane iku kak??,@musyaffa_89 Menurutku itu salah satu alasan kenapa kamu parkir?
256,pfs_007,"@infoponorogo Iki sak eroh ku lo ya teko kuto sing wis ono E-parking. Gak ribet pembayarane soale g atek duwek, ngetap kartu, luwih higienis. Luwih tertib pembayarane soale tertera area ne. Ugo tukang parkir penghasilane luwih iso dijagakno, soale digaji/bln. Aku paham karepe, Podo² enake antara Awake dewe pemakai jasa parkir, jukir  lan pemkab. Masalahe saiki, PONOROGO  wis siap tah gawe ngelaksanakno???. Sosialisasi opo wis masyarakat kabeh ngerti???. Gawe rambu ae dadak sik ngenteni kejadian, Marka jalan akeh sing durung dibenah (Garis hilang/pudar). Owalah... Ojo grusa grusu..!!!..","@infoponorogo Ini teman saya yang punya E-parking. Ga ribet bayarnya karena gak punya sendiri, tap kartu, lebih higienis. Lebih tertib dalam membayar daerah tersebut. Selain itu, tukang parkir mempunyai penghasilan yang lebih baik, karena dibayar/bulanan. Saya mengerti apa yang anda inginkan, Podo² baik antara kita sebagai pengguna jasa parkir, jukir dan pemerintah kabupaten. Masalahnya sekarang, PONOROGO siap melaksanakannya???. Apakah sosialisasi sudah diketahui seluruh masyarakat???. Membuat rambu secara tiba-tiba sambil menunggu kejadian, banyak rambu jalan yang belum diperbaiki (Jalur darat hilang/pudar). Ubahlah... Jangan marah..!!!.."
257,ragasugeng88,@infoponorogo agus yayat kecekel silop min,@infoponorogo dan yayat menangkap kesalahan saya
258,mast_echooooooo,Panggah penak manual ???? sat set ...,Bagaimana cara menggunakan manualnya???? duduk set...
259,infoponorogo,@ragasugeng88 hooh kan parkiran enek 2 panggon siji dicekel kancane roy sijine dicekel anak buahe gawane Agus,"@ragasugeng88 heh, parkirannya ada 2, satu dipegang teman Roy, satu lagi dipegang anak buah Agus"
260,infoponorogo,@infoponorogo ????,@infoponorogo????
261,infoponorogo,@mast_echooooooo okeee awakmu tim manual ya lur??,"@mast_echooooooo oke, kalian tim manual kan??"
262,infoponorogo,"@al_wildd naaaaah iku sik uji coba, bakale dievaluasi sik??","@al_wildd naaaaah ini uji coba, apakah akan dievaluasi??"
263,febrybiwara,"Eh sik sik kok pengahasilane kurang ya,,bukane wes digaji to min..kok kurang paham ak","Eh sik sik, kenapa penghasilannya sedikit?"
264,infoponorogo,@febrybiwara lha kuwi sik uji coba lak sik bagi hasil kayane,"@febrybiwara, ini hanya tes, saya akan membagikan hasilnya"
265,mosya_90,"Penak ke nk parkir Ra sah bayar...trus jukire digaji pemerintah ngono ,,????????","Nyaman parkirnya Ra, bisa bayar.. trus dibayar pemerintah,,????????"
266,rmzlahmad.dr,Min..kalau mau lapor ttg pembangunan jalan didesa saya gmna ya min..saya tinggal di sawoo. Cuma desa saya aja yg gak di bangun jalan nya. Desa lain sudah dbangun semua..,"Min..kalau mau lapor tentang pembangunan jalan di desa juga boleh, min..Saya tinggal di Sawoo. Hanya saja desa saya belum membangun jalan. Desa lain semuanya telah dibangun.."
267,mast_echooooooo,@infoponorogo  aq bolone tukang parkir ????,@infoponorogo itu tukang parkirnya????
268,tatik_mujiarti,"kalo bisa di persulit kenapa harus di permudah ??, auk ah elap",kalau bisa dipersulit kenapa harus dipermudah??
269,ramangabdulazis,Kampungan ??,Desa??
270,marissasr_,@alistaavs bos berek,@alistaavs bos barak
271,andika.dbh,"Teknologi melebihi akal sehat, 2023 ngurus surat2 nek kantor deso ae kon foto copy E-KTP kog parkir pake ELEKTRONIC @ponorogo.update","Teknologi Melampaui Akal Sehat, 2023 Urus Surat di Kantor Pedesaan Kalau Punya Foto Copy E-KTP Nanti Saya Parkir Pakai ELECTRONICS @ponorogo.update"
272,ragiel_mangku_langit,Mugo ae nek khilangan di tmpt parkir bisa di ganti 100% hehe,Semoga kalau hilang di parkiran bisa diganti 100% hehe
273,arin9499,Maleh gk minat dolan rno min .  @ponorogo.update,Aku tidak tertarik mengunjungimu.  @ponorogo.update
274,herysusantu,Ngurusi urusan sing gak urgent,Menangani hal-hal yang tidak mendesak
275,nadflix.jv,r ndwe e money,saya punya uang
276,optik_tasikmalaya,Lama lama kembali lagi ke manual,Sudah lama sekali sejak saya kembali ke manual
277,erikwahyudy,Semangatt ??,Antusias??
278,eline_xiandhia,@yogiiprapmito nah tu dia.... ??????????? klo ga ditindak lanjutin ga adil kan,"@yogiiprapmito itu dia... ??????????? Kalau tidak ditindaklanjuti, tidak adil"
279,hanifahlayli,Aku luweh ikhlas duit sewu rongewu nggeh kang parkir. Tinimbang diakali wong nduwuran sing eneeeng ae carane gawe proposal alat e-parkir ben amrih cair dana ne. ?????????,"Saya rela mengeluarkan uang seribu dua ribu untuk parkir. Daripada ditipu oleh orang yang tahu cara membuat proposal alat e-parking, lebih baik cari uangnya. ?????????"
280,zazux_yeye,Pendapatku tetep penak parkir gratis.,Pendapat saya tetap kenyamanan parkir gratis.
281,dikaambarani_baru_tahun_2000,Alhamdulilah Semangat Gak Belum Bayar E_Parking Mulai kalo ada baiklah Boleh Lihat Siapa Itu Terus Lama lama banyak Terimakasih Waalaikumsalam,Alhamdulillah Semangat belum bayar E_Parking. Kalau ada bisa dilihat siapa saja. Terima kasih Waalaikumsalam
282,adityaanakbaik_,Nyuen nyuen i lakon,Nyuen nyuen aku lakon
283,humairasyaharani,Pendapat ku apik lor mergo ben ora hasil dr prkir bisa langsng disetor ne nge apbd ngo bangun2 op kono ben ponorogo luweh maju dlm segla hal,"Pendapat saya bagus, karena saya tidak mendapatkan hasil apapun dari proyek tersebut, saya bisa langsung menyetorkannya ke apbd untuk membangun op."
284,ari_plastik,"Tuku alat modern bisa, jalanan berlubang nambal gak bisa. ??","Anda bisa membeli peralatan modern, Anda tidak bisa memperbaiki jalan berlubang. ??"
285,alistaavs,@marissasr_  ebesss,@marissasr_ ebesss
286,rudhie_xa,@verane_imam dadi netizen tenan saki wani ngritik.wkwk,@verane_imam adalah netizen yang berani mengkritik.wkwk
287,verane_imam,"@rudhie_xa ???? lawong pegel lo aku mas,","@rudhie_xa ???? Aku marah padamu, kawan"
288,rudhie_xa,@verane_imam lanjutkan ??,@verane_imam lanjutkan??
289,didik_wijaya,"kokean tetek bengek ra karu""an... kok sek menak jaman bien rono rene cepet.... ora macet ora ubeng""an","kenapa sibuk sekali..kenapa cepat sekali kalau ke jaman dulu.... gak stuck, gak muter-muter"
290,regytaaprylia,@yogiiprapmito parkir gacoan sih uanehhhhh muesti ga enek uang kembalian muesti ??,@yogiiprapmito parkir di gacoan harus refund??
291,ekomentaro,"@verane_imam 2000py,akeh kae sing 5000/10000","@verane_imam 2000py, banyak yang 5000/10000"
292,ekomentaro,"@mutiaraya__ lahan kusus,ne kota lahane kusus rodok angel,kakean omah dll,gelem py parkir Ombo neng lapangan kodim,trs acarane neng alun2??????","@mutiaraya__ tanah khusus, di kota, tanah khusus lebih sulit, karena rumah dll, bersediakah Ombo parkir di lapangan kodim, karena acaranya di alun-alun??????"
293,verane_imam,@ekomentaro yoo diomongii aturane 1000 lo pak . Nek gak ngnu karo muleh butuhw diwei 5000 . Masaku ket jaman disek yo tekan 5000 parkire .,"@ekomentaro akan diberitahu aturannya 1000 pak. Jika Anda tidak tahu cara pulang, Anda harus membayar 5000. Waktu saya di dorong hingga mencapai 5000 tempat parkir."
294,ekomentaro,"@add_zim kesel ngangkuti,ngko biaya neh,tukang angkut2","@add_zim capek angkut, berapa biayanya transporter"
295,ekomentaro,"@verane_imam diomongi jawabe(lione Yo limang ewu,lak Ra gelem bayar,Ojo parkir ne kene)py trusan","@verane_imam dikasih jawabannya (singanya lima ribu, saya bersedia bayar, jangan parkir di sini)"
296,verane_imam,@ekomentaro 5000 kan jga tidak setiap hari mungkin pas waktu ada acara . Nek sya yo maklum wong trah gowo mobil / motor tak lempit yo gk kenek mas . ?? maaf hnya berpendat,"@ekomentaro 5000 tidak setiap hari mungkin kalau ada acara. Kalau tahu mobil/motornya tidak kompak, tidak akan bisa menabraknya. ?? maaf karena pendek"
297,verane_imam,@verane_imam berpendapat,@verane_imam berpikir
298,ekomentaro,"@verane_imam aji mumpung to Mak,trs gunane perda(bisa diubah trgantung sikon)gt to","@verane_imam aji mumpung ke Mak, itu pakai hukum (bisa berubah tergantung situasi)."
299,verane_imam,@ekomentaro trus selama ini kemana saja mas aturan perda itu sudh lama tapii kenapa masih di urus sekrg . Percuma kalau kita parkirnya dilahan pemilik cnth didalam pizza hut apa iya mau bilang aturan perda la kalau yang punya lahan la ini tempatku lo mas sya yo bayar pajak  Koyo gk ngerti wong ponrogo ae mas . Ibarat akua hari biasa 2000 aji mumpung kadang yo didol 5000 . ????,"@ekomentaro dan selama ini aturan Perdanya dari dulu mana, tapi kenapa sekarang masih diurus? Gratis kalau kita parkir di tanah pemilik di Pizza Hut, mau kasih tahu aturan hukumnya, kalau pemilik tanah itu tempat saya, dia akan bayar pajak. Ibaratnya saya bernilai 2000 di hari biasa, kadang dijual seharga 5000. ????"
300,ekomentaro,"@verane_imam tujuan dr postingan Iki mau Yo iku(e_parkir)utk LBH menertibkan parkir,JD jgn mikire(Halah mandak rong ewu ae kok,La 2000 x Lo,opo neh sing 5000 x,brapa kali lipat ....sdgkan yg kekota itu ora mesti arep ne alun2 tok,kadang arep tuku klambi(PO neh pas bodo)dilok neng toko A,toko B,toko C,neng alun2(Mergo gak cocok pakiane/piliane dll)La kui ws muni Lo parkire,kadang mulih Sik rung oleh opo sing digoleki,muk bayar2 pkr aja..??????????","@verane_imam maksud postingan ini adalah (e_parkir) untuk LBH mengatur parkir, JD gak usah mikir gak usah ke alun-alun, kadang mau beli baju (POnya bodoh) pergi ke toko A, toko B, toko C, ke alun-alun (Ada yang tidak sesuai dengan pakaian/pilihanmu, dll.) Dan jika kamu memanggilku untuk parkir, kadang-kadang kamu pulang, apa yang kamu cari, silakan bayar? ????????"
301,verane_imam,"@ekomentaro e parkingo yo tetep mbayar mas . ?? marai ya iku lo mas fikirane wong bedo bedo mas . Pomokno ke tok a b c d sampek z urung temu bajune yo tetep bayar 1000 peng, intine dilempit mawon mas kendraane ????","@ekomentaro e parkingo tetap bayar mas. ?? itulah cara orang berpikir. Kenapa tidak ke toko a b c d sampai bajunya tidak ketemu, tetap harus bayar 1000 peng, intinya di lipat, mobilnya apa?"
302,irvanwahyuuu_,Pake e-money aja tinggal tap gitu kan enak atau bisa pakai qr code,"Kalau pakai e-money tinggal tap saja, bagus atau bisa pakai qr code"
303,ekomentaro,"@verane_imam loh,La Ra byr Ki py,????dg eparkir,(mungkin akan LBH trtib lagi,lak bayar 2000 Yo 2000,Krn wis dideteksi Ama mesin tsb(mungkin Lo ya????","@verane_imam haha, La Ra byr Ki py,????dg eparkir, (mungkin LBHnya akan disortir lagi, saya bayar 2000 atau 2000, karena sudah terdeteksi mesin (mungkin Lo ya????"
